dateObs,dateObs_y,dateObs_m,dateObs_d,TempAvg,TempMin,hhmiTempMin,TempMax,hhmiTempMax,hhmiTempMin_h,hhmiTempMin_m,hhmiTempMax_h,hhmiTempMax_m,classRainfall,hourRainfall,RainfallAmount,discomfortIndex,HumidAvg,SnowloadMax,hhmiSnowloadMax,hhmiSnowloadMax_h,hhmiSnowloadMax_m
2020-01-01,2020,1,1,-2.2,-6.5,00:01:00,0.3,14:57:00,0.0,1.0,14,57,약한비,9.83,0.1,전원쾌적,64.4,0.0,0.0,0.0,0.0
2020-01-02,2020,1,2,1.0,-0.7,00:01:00,3.8,15:00:00,0.0,1.0,15,0,무강수,0.0,0.0,전원쾌적,65.4,0.0,0.0,0.0,0.0
2020-01-03,2020,1,3,-0.1,-3.4,08:07:00,4.6,15:47:00,8.0,7.0,15,47,무강수,0.0,0.0,전원쾌적,56.9,0.0,0.0,0.0,0.0
2020-01-04,2020,1,4,1.2,-2.8,05:12:00,6.1,14:50:00,5.0,12.0,14,50,무강수,0.0,0.0,전원쾌적,50.8,0.0,0.0,0.0,0.0
2020-01-05,2020,1,5,1.3,-3.2,08:21:00,6.6,14:53:00,8.0,21.0,14,53,무강수,0.0,0.0,전원쾌적,45.6,0.0,0.0,0.0,0.0
2020-01-06,2020,1,6,3.1,0.6,00:53:00,4.6,11:58:00,0.0,53.0,11,58,보통비,14.33,1.8,전원쾌적,65.4,0.0,0.0,0.0,0.0
2020-01-07,2020,1,7,6.3,4.2,00:01:00,7.7,23:50:00,0.0,1.0,23,50,매우강한비,24.0,46.3,전원쾌적,95.0,0.0,0.0,0.0,0.0
2020-01-08,2020,1,8,2.4,-0.4,23:36:00,8.9,00:47:00,23.0,36.0,0,47,강한비,9.5,11.6,전원쾌적,86.1,0.0,0.0,0.0,0.0
2020-01-09,2020,1,9,-1.2,-3.1,23:49:00,2.0,15:34:00,23.0,49.0,15,34,무강수,0.0,0.0,전원쾌적,65.3,0.0,0.0,0.0,0.0
2020-01-10,2020,1,10,-0.6,-4.3,04:53:00,4.2,15:34:00,4.0,53.0,15,34,무강수,0.0,0.0,전원쾌적,62.9,0.0,0.0,0.0,0.0
2020-01-11,2020,1,11,-0.1,-2.6,08:06:00,3.9,13:34:00,8.0,6.0,13,34,무강수,0.0,0.0,전원쾌적,60.9,0.0,0.0,0.0,0.0
2020-01-12,2020,1,12,-1.0,-3.5,06:33:00,2.8,15:51:00,6.0,33.0,15,51,무강수,0.0,0.0,전원쾌적,61.5,0.0,0.0,0.0,0.0
2020-01-13,2020,1,13,-2.9,-4.7,06:32:00,0.2,14:22:00,6.0,32.0,14,22,무강수,0.0,0.0,전원쾌적,51.0,0.0,0.0,0.0,0.0
2020-01-14,2020,1,14,-2.3,-5.7,06:37:00,2.6,14:13:00,6.0,37.0,14,13,무강수,0.0,0.0,전원쾌적,45.3,0.0,0.0,0.0,0.0
2020-01-15,2020,1,15,-2.7,-6.4,07:22:00,2.2,15:10:00,7.0,22.0,15,10,무강수,0.0,0.0,전원쾌적,44.8,0.0,0.0,0.0,0.0
2020-01-16,2020,1,16,-1.7,-5.5,08:16:00,3.2,14:30:00,8.0,16.0,14,30,무강수,0.0,0.0,전원쾌적,43.0,0.0,0.0,0.0,0.0
2020-01-17,2020,1,17,-0.6,-4.8,07:20:00,4.9,14:49:00,7.0,20.0,14,49,무강수,0.0,0.0,전원쾌적,43.9,0.0,0.0,0.0,0.0
2020-01-18,2020,1,18,0.3,-4.1,08:02:00,5.9,15:03:00,8.0,2.0,15,3,무강수,0.0,0.0,전원쾌적,48.1,0.0,0.0,0.0,0.0
2020-01-19,2020,1,19,1.9,-0.4,00:03:00,5.3,15:10:00,0.0,3.0,15,10,약한비,1.58,0.6,전원쾌적,62.8,0.3,955.0,9.0,55.0
2020-01-20,2020,1,20,0.7,-3.3,23:24:00,5.5,13:13:00,23.0,24.0,13,13,무강수,0.0,0.0,전원쾌적,46.8,0.0,0.0,0.0,0.0
2020-01-21,2020,1,21,-0.4,-5.6,08:00:00,5.5,15:41:00,8.0,0.0,15,41,무강수,0.0,0.0,전원쾌적,36.9,0.0,0.0,0.0,0.0
2020-01-22,2020,1,22,3.0,-0.1,00:47:00,7.8,14:47:00,0.0,47.0,14,47,무강수,0.0,0.0,전원쾌적,36.0,0.0,0.0,0.0,0.0
2020-01-23,2020,1,23,4.6,0.0,08:02:00,9.9,14:50:00,8.0,2.0,14,50,무강수,0.0,0.0,전원쾌적,49.3,0.0,0.0,0.0,0.0
2020-01-24,2020,1,24,2.8,-1.3,08:16:00,7.4,15:34:00,8.0,16.0,15,34,무강수,0.0,0.0,전원쾌적,63.0,0.0,0.0,0.0,0.0
2020-01-25,2020,1,25,4.3,0.6,02:51:00,8.8,12:02:00,2.0,51.0,12,2,무강수,0.0,0.0,전원쾌적,63.1,0.0,0.0,0.0,0.0
2020-01-26,2020,1,26,5.5,-0.2,07:47:00,11.9,15:16:00,7.0,47.0,15,16,무강수,0.0,0.0,전원쾌적,56.3,0.0,0.0,0.0,0.0
2020-01-27,2020,1,27,5.9,4.8,23:31:00,7.5,14:18:00,23.0,31.0,14,18,약한비,6.92,0.1,전원쾌적,48.1,0.0,0.0,0.0,0.0
2020-01-28,2020,1,28,6.8,4.3,02:31:00,9.9,14:42:00,2.0,31.0,14,42,무강수,0.0,0.0,전원쾌적,49.4,0.0,0.0,0.0,0.0
2020-01-29,2020,1,29,6.0,3.2,07:08:00,9.6,14:50:00,7.0,8.0,14,50,무강수,0.0,0.0,전원쾌적,46.4,0.0,0.0,0.0,0.0
2020-01-30,2020,1,30,5.2,1.4,08:14:00,10.4,12:49:00,8.0,14.0,12,49,무강수,0.0,0.0,전원쾌적,47.0,0.0,0.0,0.0,0.0
2020-01-31,2020,1,31,3.9,1.4,23:57:00,8.9,13:47:00,23.0,57.0,13,47,무강수,0.0,0.0,전원쾌적,59.6,0.0,0.0,0.0,0.0
2020-02-01,2020,2,1,2.6,-1.2,07:05:00,7.6,15:56:00,7.0,5.0,15,56,무강수,0.0,0.0,전원쾌적,66.6,0.0,0.0,0.0,0.0
2020-02-02,2020,2,2,1.5,-2.1,07:47:00,5.3,13:09:00,7.0,47.0,13,9,무강수,0.0,0.0,전원쾌적,52.3,0.0,0.0,0.0,0.0
2020-02-03,2020,2,3,-0.4,-2.9,23:57:00,3.0,14:56:00,23.0,57.0,14,56,무강수,0.0,0.0,전원쾌적,43.6,0.0,0.0,0.0,0.0
2020-02-04,2020,2,4,-1.6,-6.0,06:35:00,3.9,14:29:00,6.0,35.0,14,29,보통비,7.25,1.7,전원쾌적,50.3,0.8,1945.0,19.0,45.0
2020-02-05,2020,2,5,-8.3,-11.0,07:57:00,-4.9,16:01:00,7.0,57.0,16,1,무강수,0.0,0.0,전원쾌적,37.3,0.7,1.0,0.0,1.0
2020-02-06,2020,2,6,-6.4,-11.8,06:34:00,0.4,14:33:00,6.0,34.0,14,33,무강수,0.0,0.0,전원쾌적,36.4,0.0,0.0,0.0,0.0
2020-02-07,2020,2,7,-1.7,-7.2,01:23:00,2.2,15:33:00,1.0,23.0,15,33,무강수,0.0,0.0,전원쾌적,45.1,0.0,0.0,0.0,0.0
